Posição, Série n.º 3
Tempo ( s )	Posição ( m )
3,0000E-6	0,001
0,0109	0,325
0,0210	0,333
0,0310	0,340
0,0410	0,346
0,0510	0,352
0,0610	0,358
0,0711	0,363
0,0811	0,367
0,0911	0,370
0,1011	0,373
0,1111	0,375
0,1211	0,377
0,1311	0,377
0,1411	0,379
0,1511	0,379
0,1611	0,378
0,1711	0,376
0,1811	0,373
0,1911	0,370
0,2011	0,367
0,2111	0,362
0,2210	0,357
0,2310	0,352
0,2410	0,344
0,2510	0,338
0,2610	0,331
0,2709	0,324
0,2809	0,317
0,2909	0,309
0,3009	0,301
0,3109	0,293
0,3208	0,286
0,3308	0,278
0,3408	0,270
0,3508	0,262
0,3607	0,255
0,3707	0,248
0,3807	0,241
0,3907	0,234
0,4007	0,228
0,4106	0,222
0,4206	0,217
0,4306	0,212
0,4406	0,208
0,4506	0,204
0,4606	0,201
0,4706	0,198
0,4806	0,196
0,4906	0,195
0,5006	0,195
0,5106	0,195
0,5206	0,196
0,5306	0,197
0,5406	0,200
0,5506	0,202
0,5606	0,206
0,5706	0,209
0,5806	0,213
0,5906	0,218
0,6006	0,223
0,6107	0,228
0,6207	0,234
0,6307	0,240
0,6407	0,246
0,6507	0,253
0,6608	0,260
0,6708	0,266
0,6808	0,273
0,6908	0,280
0,7008	0,287
0,7109	0,294
0,7209	0,300
0,7309	0,307
0,7409	0,313
0,7509	0,319
0,7609	0,325
0,7710	0,330
0,7810	0,335
0,7910	0,339
0,8010	0,343
0,8110	0,347
0,8210	0,350
0,8310	0,353
0,8410	0,355
0,8510	0,356
0,8610	0,357
0,8710	0,358
0,8810	0,357
0,8910	0,356
0,9010	0,355
0,9110	0,353
0,9210	0,350
0,9310	0,347
0,9410	0,344
0,9510	0,340
0,9610	0,335
0,9710	0,331
0,9809	0,326
0,9909	0,320
1,0009	0,315
1,0109	0,309
1,0209	0,304
1,0309	0,298
1,0408	0,292
1,0508	0,286
1,0608	0,280
1,0708	0,275
1,0808	0,269
1,0908	0,263
1,1007	0,258
1,1107	0,252
1,1207	0,248
1,1307	0,243
1,1407	0,238
1,1507	0,234
1,1607	0,230
1,1707	0,227
1,1807	0,224
1,1906	0,221
1,2006	0,219
1,2106	0,218
1,2206	0,217
1,2306	0,216
1,2406	0,216
1,2506	0,219
1,2606	0,220
1,2706	0,221
1,2806	0,223
1,2907	0,225
1,3007	0,228
1,3107	0,231
1,3207	0,232
1,3307	0,235
1,3407	0,239
1,3507	0,244
1,3607	0,248
1,3707	0,253
1,3807	0,258
1,3908	0,263
1,4008	0,268
1,4108	0,274
1,4208	0,279
1,4308	0,284
1,4408	0,290
1,4509	0,295
1,4609	0,300
1,4709	0,304
1,4809	0,309
1,4909	0,313
1,5009	0,317
1,5109	0,321
1,5209	0,325
1,5310	0,328
1,5410	0,331
1,5510	0,333
1,5610	0,335
1,5710	0,337
1,5810	0,338
1,5910	0,338
1,6010	0,339
1,6110	0,339
1,6210	0,338
1,6310	0,338
1,6410	0,336
1,6510	0,335
1,6610	0,333
1,6710	0,330
1,6810	0,327
1,6909	0,324
1,7009	0,321
1,7109	0,317
1,7209	0,313
1,7309	0,309
1,7409	0,305
1,7509	0,300
1,7609	0,295
1,7708	0,291
1,7808	0,286
1,7908	0,281
1,8008	0,276
1,8108	0,271
1,8208	0,267
1,8308	0,262
1,8408	0,258
1,8507	0,254
1,8607	0,250
1,8707	0,247
1,8807	0,243
1,8907	0,240
1,9007	0,238
1,9107	0,235
1,9207	0,234
1,9307	0,232
1,9407	0,231
1,9507	0,230
1,9607	0,229
1,9707	0,229
1,9807	0,230
1,9907	0,231
2,0007	0,232
2,0107	0,233
2,0207	0,235
2,0307	0,237
2,0407	0,240
2,0507	0,243
2,0607	0,245
2,0707	0,249
2,0807	0,252
2,0907	0,256
2,1008	0,260
2,1108	0,263
2,1208	0,267
2,1308	0,272
2,1408	0,276
2,1508	0,280
2,1608	0,284
2,1708	0,288
2,1809	0,293
2,1909	0,297
2,2009	0,301
2,2109	0,304
2,2209	0,308
2,2309	0,311
2,2409	0,314
2,2509	0,317
2,2609	0,320
2,2709	0,322
2,2809	0,324
2,2909	0,325
2,3009	0,327
2,3110	0,327
2,3210	0,328
2,3310	0,328
2,3410	0,327
2,3509	0,327
2,3609	0,326
2,3709	0,324
2,3809	0,323
2,3909	0,321
2,4009	0,319
2,4109	0,317
2,4209	0,314
2,4309	0,312
2,4409	0,309
2,4509	0,306
2,4609	0,303
2,4709	0,299
2,4809	0,296
2,4908	0,292
2,5008	0,289
2,5108	0,285
2,5208	0,282
2,5308	0,278
2,5408	0,274
2,5508	0,271
2,5608	0,267
2,5708	0,264
2,5808	0,261
2,5907	0,258
2,6007	0,255
2,6107	0,252
2,6207	0,250
2,6307	0,248
2,6407	0,246
2,6507	0,244
2,6607	0,243
2,6707	0,242
2,6807	0,241
2,6907	0,241
2,7007	0,241
2,7107	0,241
2,7207	0,242
2,7307	0,243
2,7407	0,244
2,7507	0,245
2,7607	0,247
2,7707	0,249
2,7807	0,251
2,7907	0,253
2,8007	0,256
2,8108	0,258
2,8208	0,261
2,8308	0,264
2,8408	0,267
2,8508	0,271
2,8608	0,274
2,8708	0,277
2,8808	0,281
2,8908	0,284
2,9008	0,289
2,9109	0,293
2,9209	0,296
2,9309	0,299
2,9409	0,302
2,9509	0,305
2,9609	0,305
2,9709	0,308
2,9809	0,310
2,9909	0,312
3,0009	0,314
3,0109	0,315
3,0209	0,316
3,0309	0,318
3,0409	0,318
3,0509	0,319
3,0609	0,319
3,0709	0,318
3,0809	0,318
3,0909	0,317
3,1009	0,316
3,1109	0,315
3,1209	0,313
3,1309	0,311
3,1409	0,309
3,1509	0,307
3,1609	0,305
3,1709	0,302
3,1809	0,299
3,1909	0,297
3,2009	0,294
3,2108	0,291
3,2208	0,288
3,2308	0,285
3,2408	0,282
3,2508	0,279
3,2608	0,276
3,2708	0,273
3,2808	0,270
3,2908	0,267
3,3008	0,264
3,3108	0,262
3,3208	0,260
3,3307	0,258
3,3407	0,256
3,3507	0,254
3,3607	0,252
3,3707	0,251
3,3807	0,250
3,3907	0,249
3,4007	0,248
3,4107	0,248
3,4207	0,248
3,4307	0,248
3,4407	0,248
3,4507	0,249
3,4607	0,250
3,4707	0,251
3,4807	0,252
3,4907	0,254
3,5007	0,255
3,5107	0,257
3,5208	0,260
3,5308	0,262
3,5408	0,264
3,5508	0,267
