Posição angular, Série n.º 1
Tempo ( s )	Posição angular ( rad )
0,0000	0,000
0,0200	0,000
0,0400	-0,002
0,0600	-0,002
0,0800	-0,002
0,1000	-0,002
0,1200	-0,002
0,1400	-0,002
0,1600	0,003
0,1800	0,014
0,2000	0,031
0,2200	0,066
0,2400	0,110
0,2600	0,170
0,2800	0,240
0,3000	0,324
0,3200	0,421
0,3400	0,528
0,3600	0,649
0,3800	0,782
0,4000	0,925
0,4200	1,081
0,4400	1,249
0,4600	1,428
0,4800	1,619
0,5000	1,824
0,5200	2,034
0,5400	2,257
0,5600	2,496
0,5800	2,738
0,6000	2,997
0,6200	3,264
0,6400	3,537
0,6600	3,830
0,6800	4,123
0,7000	4,433
0,7200	4,752
0,7400	5,083
0,7600	5,426
0,7800	5,784
0,8000	6,143
0,8200	6,519
0,8400	6,913
0,8600	7,306
0,8800	7,717
0,9000	8,146
0,9200	8,575
0,9400	9,020
0,9600	9,478
0,9800	9,946
1,0000	10,429
1,0200	10,928
1,0400	11,426
1,0600	11,943
1,0800	12,480
1,1000	13,012
1,1200	13,575
1,1400	14,142
1,1600	14,712
1,1800	15,311
1,2000	15,904
1,2200	16,519
1,2400	17,155
1,2600	17,783
1,2800	18,433
1,3000	19,106
1,3200	19,768
1,3400	20,455
1,3600	21,163
1,3800	21,861
1,4000	22,583
1,4200	23,317
1,4400	24,063
1,4600	24,820
1,4800	25,602
1,5000	26,372
1,5200	27,167
1,5400	27,973
1,5600	28,791
1,5800	29,635
1,6000	30,478
1,6200	31,312
1,6400	32,157
1,6600	33,017
1,6800	33,848
1,7000	34,707
1,7200	35,552
1,7400	36,383
1,7600	37,240
1,7800	38,084
1,8000	38,915
1,8200	39,769
1,8400	40,599
1,8600	41,441
