Posição, Série n.º 1
Tempo ( s )	Posição ( m )
9,8350E-4	0,338
0,0110	0,333
0,0210	0,328
0,0309	0,322
0,0409	0,316
0,0509	0,310
0,0609	0,304
0,0709	0,298
0,0808	0,291
0,0908	0,285
0,1008	0,278
0,1108	0,271
0,1208	0,265
0,1308	0,259
0,1407	0,253
0,1507	0,247
0,1607	0,241
0,1707	0,237
0,1807	0,232
0,1907	0,228
0,2007	0,224
0,2106	0,221
0,2206	0,218
0,2306	0,215
0,2406	0,214
0,2506	0,212
0,2606	0,211
0,2706	0,211
0,2806	0,211
0,2906	0,212
0,3006	0,213
0,3106	0,214
0,3206	0,216
0,3306	0,219
0,3406	0,222
0,3507	0,226
0,3607	0,230
0,3707	0,234
0,3807	0,238
0,3907	0,243
0,4007	0,248
0,4107	0,253
0,4208	0,259
0,4308	0,264
0,4408	0,270
0,4508	0,275
0,4608	0,281
0,4708	0,287
0,4809	0,293
0,4909	0,299
0,5009	0,304
0,5109	0,310
0,5209	0,315
0,5309	0,320
0,5409	0,324
0,5510	0,328
0,5610	0,331
0,5710	0,335
0,5810	0,337
0,5910	0,340
0,6010	0,342
0,6110	0,343
0,6210	0,344
0,6310	0,345
0,6410	0,344
0,6510	0,344
0,6610	0,343
0,6710	0,341
0,6810	0,339
0,6910	0,337
0,7010	0,334
0,7110	0,331
0,7210	0,328
0,7309	0,324
0,7409	0,320
0,7509	0,316
0,7609	0,312
0,7709	0,307
0,7809	0,303
0,7909	0,298
0,8009	0,293
0,8108	0,288
0,8208	0,283
0,8308	0,278
0,8408	0,273
0,8508	0,269
0,8608	0,264
0,8708	0,259
0,8807	0,255
0,8907	0,251
0,9007	0,247
0,9107	0,243
0,9207	0,239
0,9307	0,236
0,9407	0,234
0,9507	0,231
0,9607	0,229
0,9707	0,228
0,9807	0,227
0,9907	0,226
1,0007	0,226
1,0107	0,226
1,0207	0,226
1,0307	0,227
1,0407	0,229
1,0507	0,231
1,0607	0,233
1,0707	0,235
1,0807	0,238
1,0907	0,241
1,1007	0,244
1,1107	0,248
1,1207	0,252
1,1307	0,256
1,1408	0,260
1,1508	0,265
1,1608	0,269
1,1708	0,273
1,1808	0,278
1,1908	0,283
1,2008	0,287
1,2108	0,292
1,2209	0,296
1,2309	0,300
1,2409	0,304
1,2509	0,308
1,2609	0,311
1,2709	0,315
1,2809	0,318
1,2909	0,321
1,3009	0,324
1,3109	0,326
1,3210	0,328
1,3310	0,330
1,3410	0,331
1,3510	0,332
1,3610	0,332
1,3710	0,332
1,3810	0,332
1,3910	0,331
1,4010	0,330
1,4110	0,329
1,4209	0,327
1,4309	0,324
1,4409	0,322
1,4509	0,319
1,4609	0,316
1,4709	0,313
1,4809	0,310
1,4909	0,306
1,5009	0,303
1,5109	0,299
1,5209	0,295
1,5308	0,291
1,5408	0,287
1,5508	0,283
1,5608	0,279
1,5708	0,275
1,5808	0,271
1,5908	0,267
1,6008	0,264
1,6108	0,260
1,6207	0,256
1,6307	0,253
1,6407	0,250
1,6507	0,248
1,6607	0,245
1,6707	0,243
1,6807	0,241
1,6907	0,240
1,7007	0,238
1,7107	0,237
1,7207	0,237
1,7307	0,236
1,7407	0,236
1,7507	0,237
1,7607	0,237
1,7707	0,238
1,7807	0,240
1,7907	0,242
1,8007	0,244
1,8107	0,246
1,8207	0,249
1,8307	0,251
1,8407	0,254
1,8507	0,257
1,8608	0,261
1,8708	0,264
1,8808	0,268
1,8908	0,271
1,9008	0,275
1,9108	0,279
1,9208	0,283
1,9308	0,287
1,9408	0,290
1,9509	0,294
1,9609	0,297
1,9709	0,300
1,9809	0,303
1,9909	0,306
2,0009	0,309
2,0109	0,311
2,0209	0,313
2,0309	0,315
2,0409	0,316
2,0509	0,318
2,0609	0,319
2,0709	0,320
2,0809	0,321
2,0909	0,321
2,1009	0,321
2,1109	0,321
2,1209	0,321
2,1309	0,320
2,1409	0,319
2,1509	0,318
2,1609	0,316
2,1709	0,314
2,1809	0,312
2,1909	0,309
2,2009	0,307
2,2109	0,304
2,2209	0,301
2,2309	0,298
2,2409	0,295
2,2508	0,291
2,2608	0,288
2,2708	0,285
2,2808	0,281
2,2908	0,278
2,3008	0,275
2,3108	0,272
2,3208	0,268
2,3308	0,265
2,3408	0,263
2,3508	0,260
2,3607	0,257
2,3707	0,255
2,3807	0,253
2,3907	0,251
2,4007	0,249
2,4107	0,248
2,4207	0,246
2,4307	0,246
2,4407	0,245
2,4507	0,245
2,4607	0,245
2,4707	0,245
2,4807	0,246
2,4907	0,247
2,5007	0,248
2,5107	0,249
2,5207	0,250
2,5307	0,252
2,5407	0,254
2,5507	0,256
2,5608	0,259
2,5708	0,261
2,5808	0,264
2,5908	0,267
2,6008	0,270
2,6108	0,273
2,6208	0,276
2,6308	0,279
2,6408	0,282
2,6508	0,285
2,6608	0,288
2,6708	0,291
2,6809	0,294
2,6909	0,297
2,7009	0,299
2,7109	0,302
2,7209	0,304
2,7309	0,306
2,7409	0,308
2,7509	0,310
2,7609	0,312
2,7709	0,313
2,7809	0,314
2,7909	0,315
2,8009	0,315
2,8109	0,315
2,8209	0,315
2,8309	0,315
2,8409	0,315
2,8509	0,314
2,8609	0,313
2,8709	0,312
2,8809	0,311
2,8909	0,309
2,9009	0,308
2,9109	0,306
2,9209	0,304
2,9309	0,301
2,9409	0,299
2,9509	0,297
2,9609	0,294
2,9708	0,291
2,9808	0,288
2,9908	0,286
3,0008	0,283
3,0108	0,280
3,0208	0,277
3,0308	0,274
3,0408	0,271
3,0508	0,268
3,0608	0,266
3,0708	0,263
3,0808	0,261
3,0908	0,259
3,1007	0,257
3,1107	0,255
3,1207	0,254
3,1307	0,253
3,1407	0,252
3,1507	0,251
3,1607	0,251
3,1707	0,250
3,1807	0,250
3,1907	0,250
3,2007	0,251
3,2107	0,251
3,2207	0,252
3,2307	0,254
3,2407	0,255
3,2507	0,256
3,2607	0,258
3,2708	0,260
3,2808	0,262
3,2908	0,264
3,3008	0,266
3,3108	0,268
3,3208	0,270
3,3308	0,273
3,3408	0,275
3,3508	0,278
3,3608	0,281
3,3708	0,283
3,3808	0,286
3,3908	0,288
3,4008	0,291
3,4109	0,293
3,4209	0,296
3,4309	0,298
3,4409	0,300
3,4509	0,302
3,4609	0,304
3,4709	0,305
3,4809	0,307
3,4909	0,308
3,5009	0,309
3,5109	0,310
3,5209	0,310
3,5309	0,311
3,5409	0,311
3,5509	0,311
3,5609	0,311
3,5709	0,310
3,5809	0,309
3,5909	0,308
3,6009	0,307
3,6109	0,306
3,6209	0,304
3,6309	0,303
3,6409	0,301
3,6509	0,299
3,6609	0,297
3,6709	0,295
3,6808	0,292
3,6908	0,290
3,7008	0,288
3,7108	0,285
3,7208	0,283
3,7308	0,280
3,7408	0,278
3,7508	0,276
3,7608	0,273
3,7708	0,271
3,7808	0,269
3,7908	0,267
3,8008	0,265
3,8108	0,263
3,8208	0,262
3,8308	0,260
3,8408	0,259
3,8507	0,258
3,8607	0,257
3,8707	0,256
3,8807	0,256
3,8907	0,255
3,9007	0,255
3,9107	0,255
3,9207	0,256
3,9307	0,256
3,9407	0,257
3,9507	0,258
3,9608	0,259
3,9708	0,260
3,9808	0,261
3,9908	0,263
4,0008	0,265
4,0108	0,266
4,0208	0,268
4,0308	0,270
4,0408	0,272
4,0508	0,275
4,0608	0,277
4,0708	0,279
4,0808	0,281
4,0908	0,283
4,1008	0,286
4,1108	0,288
4,1208	0,290
4,1308	0,292
4,1409	0,294
4,1509	0,296
4,1609	0,298
4,1709	0,299
4,1809	0,301
4,1909	0,302
4,2009	0,304
4,2109	0,305
4,2209	0,306
4,2309	0,306
4,2409	0,307
4,2509	0,307
4,2609	0,307
4,2709	0,307
4,2809	0,307
4,2909	0,306
4,3009	0,306
4,3109	0,305
4,3209	0,304
4,3309	0,302
4,3409	0,301
4,3509	0,299
4,3609	0,298
4,3709	0,296
4,3809	0,294
4,3908	0,292
4,4008	0,291
4,4108	0,288
4,4208	0,286
4,4308	0,284
4,4408	0,282
4,4508	0,280
4,4608	0,278
4,4708	0,276
4,4808	0,274
4,4908	0,272
4,5008	0,271
4,5108	0,269
4,5208	0,267
4,5308	0,266
4,5408	0,264
4,5508	0,263
4,5608	0,262
4,5708	0,261
4,5808	0,260
4,5908	0,259
4,6008	0,259
4,6108	0,258
4,6208	0,258
4,6308	0,258
4,6408	0,258
4,6508	0,259
4,6608	0,259
4,6708	0,260
4,6808	0,261
4,6908	0,262
4,7008	0,263
4,7108	0,265
4,7208	0,266
4,7308	0,268
4,7408	0,269
4,7508	0,271
4,7608	0,273
4,7708	0,275
4,7808	0,277
4,7908	0,279
4,8008	0,281
4,8108	0,283
4,8208	0,285
4,8308	0,287
4,8408	0,289
4,8508	0,291
4,8608	0,292
4,8709	0,294
4,8809	0,296
4,8909	0,297
4,9009	0,298
4,9109	0,300
4,9209	0,301
4,9309	0,302
4,9409	0,302
4,9509	0,303
4,9609	0,304
4,9709	0,304
4,9809	0,304
4,9909	0,304
5,0009	0,304
5,0109	0,303
5,0209	0,303
5,0309	0,302
5,0409	0,301
5,0509	0,300
5,0609	0,299
5,0709	0,298
5,0809	0,297
5,0909	0,295
5,1009	0,293
5,1108	0,292
5,1208	0,290
5,1308	0,288
5,1408	0,287
5,1508	0,285
5,1608	0,283
5,1708	0,281
5,1808	0,279
5,1908	0,277
5,2008	0,276
5,2108	0,274
5,2208	0,272
5,2308	0,271
5,2408	0,269
5,2508	0,268
5,2608	0,267
5,2708	0,266
5,2808	0,265
5,2908	0,264
5,3008	0,263
5,3108	0,262
5,3208	0,262
5,3308	0,262
5,3408	0,262
5,3508	0,262
5,3608	0,262
5,3708	0,262
5,3808	0,263
5,3908	0,263
5,4008	0,264
5,4108	0,265
5,4208	0,266
5,4308	0,267
5,4408	0,268
5,4508	0,270
5,4608	0,271
5,4708	0,273
5,4808	0,275
5,4908	0,276
5,5008	0,278
5,5108	0,280
5,5208	0,281
5,5308	0,283
5,5408	0,285
5,5508	0,286
5,5608	0,288
5,5708	0,289
5,5808	0,291
5,5908	0,292
5,6009	0,294
5,6109	0,295
5,6209	0,296
5,6309	0,297
5,6409	0,298
5,6509	0,299
5,6609	0,299
5,6709	0,300
5,6809	0,300
5,6909	0,300
5,7009	0,300
5,7109	0,300
5,7209	0,300
5,7309	0,300
5,7409	0,299
5,7509	0,299
5,7609	0,298
5,7709	0,297
5,7809	0,296
5,7909	0,295
5,8009	0,294
5,8109	0,293
5,8208	0,291
5,8308	0,290
5,8408	0,288
5,8508	0,287
5,8608	0,285
5,8708	0,284
5,8808	0,282
5,8908	0,281
5,9008	0,279
5,9108	0,277
5,9208	0,276
5,9308	0,274
5,9408	0,272
5,9508	0,271
5,9608	0,270
5,9708	0,268
5,9808	0,267
5,9908	0,266
6,0008	0,266
6,0108	0,265
6,0208	0,264
6,0308	0,264
6,0408	0,263
6,0508	0,263
6,0608	0,263
6,0708	0,263
6,0808	0,263
6,0908	0,264
6,1008	0,264
6,1108	0,265
6,1208	0,266
6,1308	0,267
6,1408	0,268
6,1508	0,269
6,1608	0,270
6,1708	0,271
6,1808	0,273
6,1908	0,274
6,2008	0,275
6,2108	0,277
6,2208	0,278
6,2308	0,280
6,2408	0,281
6,2508	0,283
6,2608	0,284
6,2708	0,286
6,2808	0,288
6,2908	0,289
6,3008	0,291
6,3108	0,292
6,3209	0,293
6,3309	0,294
6,3409	0,295
6,3509	0,296
6,3609	0,297
6,3709	0,298
6,3809	0,298
6,3909	0,299
6,4009	0,299
6,4109	0,299
6,4209	0,299
6,4309	0,299
6,4409	0,299
6,4509	0,299
6,4609	0,298
6,4709	0,298
6,4809	0,297
6,4909	0,296
6,5009	0,295
6,5109	0,294
6,5209	0,293
6,5308	0,292
6,5408	0,291
6,5508	0,289
6,5608	0,288
6,5708	0,287
6,5808	0,285
6,5908	0,284
6,6008	0,282
6,6108	0,281
6,6208	0,279
6,6308	0,278
6,6408	0,277
6,6508	0,275
6,6608	0,274
6,6708	0,273
6,6808	0,271
6,6908	0,270
6,7008	0,269
6,7108	0,268
6,7208	0,268
6,7308	0,267
6,7408	0,266
6,7508	0,266
6,7608	0,266
6,7708	0,265
6,7808	0,265
6,7908	0,265
6,8008	0,266
6,8108	0,266
6,8208	0,266
6,8308	0,267
6,8408	0,267
6,8508	0,268
6,8608	0,269
6,8708	0,270
6,8808	0,271
6,8908	0,272
6,9008	0,273
6,9108	0,275
6,9208	0,276
6,9308	0,277
6,9408	0,278
6,9508	0,280
6,9608	0,281
6,9708	0,282
6,9808	0,284
6,9908	0,285
7,0008	0,286
7,0108	0,287
7,0208	0,288
7,0308	0,290
7,0408	0,291
7,0508	0,292
7,0609	0,293
7,0709	0,294
7,0809	0,294
7,0909	0,295
7,1009	0,296
7,1109	0,296
7,1209	0,296
7,1309	0,297
7,1409	0,297
7,1509	0,297
7,1609	0,297
7,1709	0,296
7,1809	0,296
7,1909	0,295
7,2009	0,295
7,2109	0,294
7,2209	0,293
7,2308	0,292
7,2408	0,291
7,2508	0,290
7,2608	0,289
7,2708	0,287
7,2808	0,286
7,2908	0,285
7,3008	0,284
7,3108	0,282
7,3208	0,281
7,3308	0,280
7,3408	0,279
7,3508	0,277
7,3608	0,276
7,3708	0,275
7,3808	0,274
7,3908	0,273
7,4008	0,272
7,4108	0,271
7,4208	0,270
7,4308	0,269
7,4408	0,269
7,4508	0,268
7,4608	0,268
7,4708	0,267
7,4808	0,267
7,4908	0,267
7,5008	0,267
7,5108	0,267
7,5208	0,267
7,5308	0,268
7,5408	0,268
7,5508	0,269
7,5608	0,269
7,5708	0,270
7,5808	0,271
7,5908	0,272
7,6008	0,273
7,6108	0,274
7,6208	0,275
7,6308	0,276
7,6408	0,277
7,6508	0,278
7,6608	0,280
7,6708	0,281
7,6808	0,282
7,6908	0,283
7,7008	0,285
7,7108	0,286
7,7208	0,287
7,7308	0,288
7,7408	0,289
7,7508	0,291
7,7608	0,292
7,7708	0,292
7,7809	0,293
7,7909	0,294
7,8009	0,294
7,8109	0,295
7,8209	0,295
7,8309	0,296
7,8409	0,296
7,8509	0,296
7,8609	0,296
7,8709	0,296
7,8809	0,296
7,8909	0,295
7,9009	0,295
7,9109	0,294
7,9209	0,294
7,9309	0,293
7,9408	0,292
7,9508	0,291
7,9608	0,290
7,9708	0,289
7,9808	0,288
