Posição angular, Série n.º 1
Tempo ( s )	Posição angular ( rad )
0,0000	0,438
0,0100	0,511
0,0200	0,586
0,0300	0,666
0,0400	0,748
0,0500	0,834
0,0600	0,922
0,0700	1,015
0,0800	1,109
0,0900	1,206
0,1000	1,308
0,1100	1,412
0,1200	1,519
0,1300	1,629
0,1400	1,744
0,1500	1,860
0,1600	1,979
0,1700	2,102
0,1800	2,226
0,1900	2,355
0,2000	2,487
0,2100	2,620
0,2200	2,758
0,2300	2,900
0,2400	3,043
0,2500	3,189
0,2600	3,340
0,2700	3,492
0,2800	3,646
0,2900	3,804
0,3000	3,965
0,3100	4,130
0,3200	4,296
0,3300	4,464
0,3400	4,639
0,3500	4,814
0,3600	4,992
0,3700	5,174
0,3800	5,360
0,3900	5,548
0,4000	5,740
0,4100	5,934
0,4200	6,131
0,4300	6,332
0,4400	6,536
0,4500	6,743
0,4600	6,954
0,4700	7,168
0,4800	7,383
0,4900	7,603
0,5000	7,826
0,5100	8,052
0,5200	8,280
0,5300	8,512
0,5400	8,746
0,5500	8,983
0,5600	9,224
0,5700	9,467
0,5800	9,714
0,5900	9,964
0,6000	10,216
0,6100	10,473
0,6200	10,732
0,6300	10,994
0,6400	11,259
0,6500	11,527
0,6600	11,798
0,6700	12,072
0,6800	12,350
0,6900	12,629
0,7000	12,912
0,7100	13,199
0,7200	13,490
0,7300	13,782
0,7400	14,077
0,7500	14,378
0,7600	14,681
0,7700	14,985
0,7800	15,293
0,7900	15,604
0,8000	15,918
0,8100	16,236
0,8200	16,556
0,8300	16,880
0,8400	17,207
0,8500	17,536
0,8600	17,868
0,8700	18,202
0,8800	18,542
0,8900	18,883
0,9000	19,227
0,9100	19,574
0,9200	19,924
0,9300	20,279
0,9400	20,636
0,9500	20,995
0,9600	21,358
0,9700	21,724
0,9800	22,093
0,9900	22,466
1,0000	22,841
1,0100	23,220
1,0200	23,601
1,0300	23,984
1,0400	24,372
1,0500	24,762
1,0600	25,155
1,0700	25,551
1,0800	25,951
1,0900	26,353
1,1000	26,759
1,1100	27,167
1,1200	27,578
1,1300	27,993
1,1400	28,411
1,1500	28,832
1,1600	29,255
1,1700	29,682
1,1800	30,112
1,1900	30,544
1,2000	30,978
1,2100	31,408
1,2200	31,840
1,2300	32,274
1,2400	32,706
1,2500	33,138
1,2600	33,570
1,2700	34,001
1,2800	34,433
1,2900	34,865
1,3000	35,297
1,3100	35,729
1,3200	36,161
1,3300	36,593
1,3400	37,024
1,3500	37,454
1,3600	37,886
1,3700	38,316
1,3800	38,747
1,3900	39,176
1,4000	39,606
1,4100	40,024
1,4200	40,439
1,4300	40,841
1,4400	41,215
1,4500	41,560
1,4600	41,884
1,4700	42,170
1,4800	42,407
1,4900	42,595
1,5000	42,735
1,5100	42,836
1,5200	42,906
1,5300	42,953
1,5400	42,988
1,5500	43,015
1,5600	43,034
1,5700	43,043
