Posição, Série n.º 7
Tempo ( s )	Posição ( m )
7,9500E-4	0,273
0,0108	0,270
0,0208	0,266
0,0308	0,262
0,0408	0,259
0,0507	0,255
0,0607	0,252
0,0707	0,249
0,0807	0,246
0,0907	0,244
0,1007	0,242
0,1107	0,240
0,1207	0,239
0,1307	0,238
0,1407	0,237
0,1507	0,237
0,1607	0,237
0,1707	0,237
0,1807	0,237
0,1907	0,238
0,2007	0,239
0,2107	0,241
0,2207	0,243
0,2307	0,245
0,2407	0,247
0,2507	0,250
0,2607	0,253
0,2707	0,256
0,2808	0,259
0,2908	0,263
0,3008	0,266
0,3108	0,270
0,3208	0,273
0,3308	0,277
0,3408	0,281
0,3508	0,284
0,3608	0,288
0,3708	0,292
0,3809	0,295
0,3909	0,299
0,4009	0,302
0,4109	0,305
0,4209	0,308
0,4309	0,311
0,4409	0,313
0,4509	0,315
0,4609	0,317
0,4709	0,319
0,4809	0,320
0,4909	0,321
0,5009	0,322
0,5109	0,322
0,5209	0,322
0,5309	0,322
0,5409	0,322
0,5509	0,321
0,5609	0,320
0,5709	0,319
0,5809	0,317
0,5909	0,315
0,6009	0,313
0,6109	0,311
0,6209	0,308
0,6309	0,305
0,6409	0,303
0,6509	0,300
0,6609	0,297
0,6709	0,294
0,6808	0,290
0,6908	0,287
0,7008	0,284
0,7108	0,280
0,7208	0,277
0,7308	0,274
0,7408	0,270
0,7508	0,267
0,7608	0,264
0,7708	0,262
0,7808	0,259
0,7907	0,257
0,8007	0,254
0,8107	0,252
0,8207	0,250
0,8307	0,249
0,8407	0,248
0,8507	0,246
0,8607	0,246
0,8707	0,245
0,8807	0,245
0,8907	0,245
0,9007	0,246
0,9107	0,246
0,9207	0,247
0,9307	0,249
0,9407	0,250
0,9507	0,251
0,9607	0,253
0,9707	0,255
0,9807	0,257
0,9908	0,260
1,0008	0,262
1,0108	0,265
1,0208	0,268
1,0308	0,271
1,0408	0,274
1,0508	0,277
1,0608	0,280
1,0708	0,283
1,0808	0,286
1,0908	0,289
1,1008	0,292
1,1109	0,295
1,1209	0,297
1,1309	0,300
1,1409	0,302
1,1509	0,304
1,1609	0,307
1,1709	0,308
1,1809	0,310
1,1909	0,311
1,2009	0,313
1,2109	0,314
1,2209	0,314
1,2309	0,315
1,2409	0,315
1,2509	0,315
1,2609	0,314
1,2709	0,314
1,2809	0,313
1,2909	0,312
1,3009	0,310
1,3109	0,309
1,3209	0,308
1,3309	0,306
1,3409	0,304
1,3509	0,302
1,3609	0,299
1,3709	0,297
1,3809	0,294
1,3908	0,291
1,4008	0,289
1,4108	0,286
1,4208	0,283
1,4308	0,281
1,4408	0,278
1,4508	0,275
1,4608	0,273
1,4708	0,270
1,4808	0,268
1,4908	0,265
1,5008	0,263
1,5108	0,261
1,5208	0,259
1,5307	0,257
1,5407	0,255
1,5507	0,254
1,5607	0,253
1,5707	0,252
1,5807	0,251
1,5907	0,251
1,6007	0,251
1,6107	0,251
1,6207	0,251
1,6307	0,251
1,6407	0,252
1,6507	0,253
1,6607	0,254
1,6707	0,256
1,6807	0,257
1,6908	0,259
1,7008	0,261
1,7108	0,263
1,7208	0,265
1,7308	0,268
1,7408	0,270
1,7508	0,272
1,7608	0,275
1,7708	0,277
1,7808	0,280
1,7908	0,282
1,8008	0,285
1,8108	0,287
1,8208	0,290
1,8308	0,292
1,8409	0,294
1,8509	0,297
1,8609	0,299
1,8709	0,301
1,8809	0,302
1,8909	0,304
1,9009	0,305
1,9109	0,307
1,9209	0,308
1,9309	0,309
1,9409	0,309
1,9509	0,310
1,9609	0,310
1,9709	0,310
1,9809	0,310
1,9909	0,310
2,0009	0,309
2,0109	0,308
2,0209	0,307
2,0309	0,306
2,0409	0,305
2,0509	0,303
2,0609	0,301
2,0709	0,299
2,0809	0,297
2,0909	0,295
2,1009	0,293
2,1108	0,291
2,1208	0,289
2,1308	0,286
2,1408	0,284
2,1508	0,282
2,1608	0,279
2,1708	0,277
2,1808	0,275
2,1908	0,272
2,2008	0,270
2,2108	0,268
2,2208	0,266
2,2308	0,265
2,2408	0,263
2,2508	0,261
2,2608	0,260
2,2708	0,259
2,2807	0,258
2,2907	0,257
2,3007	0,256
2,3107	0,256
2,3207	0,255
2,3307	0,255
2,3407	0,255
2,3507	0,256
2,3607	0,256
2,3707	0,257
2,3808	0,258
2,3908	0,259
2,4008	0,261
2,4108	0,262
2,4208	0,264
2,4308	0,265
2,4408	0,267
2,4508	0,269
2,4608	0,271
2,4708	0,273
2,4808	0,275
2,4908	0,277
2,5008	0,280
2,5108	0,282
2,5208	0,284
2,5308	0,286
2,5408	0,288
2,5508	0,290
2,5608	0,292
2,5709	0,293
2,5809	0,295
2,5909	0,297
2,6009	0,298
2,6109	0,300
2,6209	0,301
2,6309	0,302
2,6409	0,303
2,6509	0,304
2,6609	0,305
2,6709	0,305
2,6809	0,305
2,6909	0,305
2,7009	0,305
2,7109	0,305
2,7209	0,304
2,7309	0,304
2,7409	0,303
2,7509	0,302
2,7609	0,301
2,7709	0,299
2,7809	0,298
2,7909	0,297
2,8009	0,295
2,8109	0,293
2,8208	0,291
2,8308	0,289
2,8408	0,287
2,8508	0,285
2,8608	0,283
2,8708	0,281
2,8808	0,279
2,8908	0,277
2,9008	0,275
2,9108	0,273
2,9208	0,271
2,9308	0,269
2,9408	0,267
2,9508	0,266
2,9608	0,265
2,9708	0,263
2,9808	0,262
2,9908	0,261
3,0008	0,260
3,0108	0,260
3,0208	0,259
3,0308	0,259
3,0408	0,259
3,0508	0,259
3,0608	0,259
3,0708	0,260
3,0808	0,260
3,0908	0,261
3,1008	0,262
3,1108	0,263
3,1208	0,264
3,1308	0,265
3,1408	0,266
3,1508	0,268
3,1608	0,270
3,1708	0,271
3,1808	0,273
3,1908	0,275
3,2008	0,277
3,2108	0,278
3,2208	0,280
3,2308	0,282
3,2408	0,284
3,2508	0,286
3,2608	0,288
3,2708	0,290
3,2808	0,292
3,2909	0,293
3,3009	0,295
3,3109	0,296
3,3209	0,298
3,3309	0,299
3,3409	0,300
3,3509	0,301
3,3609	0,302
3,3709	0,302
3,3809	0,303
3,3909	0,303
3,4009	0,303
3,4109	0,303
3,4209	0,303
3,4309	0,303
3,4409	0,302
3,4509	0,302
3,4609	0,301
3,4709	0,300
3,4809	0,299
3,4909	0,298
3,5009	0,297
3,5109	0,295
3,5209	0,294
3,5308	0,292
3,5408	0,290
3,5508	0,289
3,5608	0,287
3,5708	0,285
3,5808	0,283
3,5908	0,282
3,6008	0,280
3,6108	0,278
3,6208	0,276
3,6308	0,274
3,6408	0,273
3,6508	0,271
3,6608	0,270
3,6708	0,268
3,6808	0,267
3,6908	0,266
3,7008	0,265
3,7108	0,264
3,7208	0,263
3,7308	0,263
3,7408	0,262
3,7508	0,262
3,7608	0,262
3,7708	0,262
3,7808	0,262
3,7908	0,262
3,8008	0,262
3,8108	0,263
3,8208	0,264
3,8308	0,265
3,8408	0,266
3,8508	0,267
3,8608	0,268
3,8708	0,269
3,8808	0,270
3,8908	0,272
3,9008	0,273
3,9108	0,275
3,9208	0,276
3,9308	0,278
3,9408	0,279
3,9508	0,281
3,9608	0,283
3,9708	0,285
3,9808	0,286
3,9908	0,288
4,0008	0,289
4,0108	0,291
4,0208	0,292
4,0309	0,294
4,0409	0,295
4,0509	0,296
4,0609	0,297
4,0709	0,298
4,0809	0,299
4,0909	0,299
4,1009	0,300
4,1109	0,300
4,1209	0,300
4,1309	0,300
